,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
44,45,1,main,205,205,303.18302,303.17,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266903,"POLYGON ((121.52495139 15.754160365, 121.529118055 15.754160365, 121.529118055 15.749993700000001, 121.52495139 15.749993700000001, 121.52495139 15.754160365))"
45,46,1,main,205,205,791.55349,791.5599999999999,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266907,"POLYGON ((121.54161805 15.754160365, 121.545784715 15.754160365, 121.545784715 15.749993700000001, 121.54161805 15.749993700000001, 121.54161805 15.754160365))"
46,47,1,main,205,205,991.4429,991.4450000000001,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266908,"POLYGON ((121.545784715 15.754160365, 121.54995138 15.754160365, 121.54995138 15.749993700000001, 121.545784715 15.749993700000001, 121.545784715 15.754160365))"
47,48,1,main,205,205,1836.57267,1836.59,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266910,"POLYGON ((121.554118045 15.754160365, 121.55828471 15.754160365, 121.55828471 15.749993700000001, 121.554118045 15.749993700000001, 121.554118045 15.754160365))"
48,49,1,main,205,205,1274.25113,1274.245,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266911,"POLYGON ((121.55828471 15.754160365, 121.562451375 15.754160365, 121.562451375 15.749993700000001, 121.55828471 15.749993700000001, 121.55828471 15.754160365))"
49,50,1,main,205,205,1005.01555,1005.025,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266912,"POLYGON ((121.562451375 15.754160365, 121.56661804 15.754160365, 121.56661804 15.749993700000001, 121.562451375 15.749993700000001, 121.562451375 15.754160365))"
50,51,1,main,205,205,636.51175,636.51,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266916,"POLYGON ((121.579118035 15.754160365, 121.5832847 15.754160365, 121.5832847 15.749993700000001, 121.579118035 15.749993700000001, 121.579118035 15.754160365))"
51,52,1,main,205,205,557.23028,557.235,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266918,"POLYGON ((121.58745136499999 15.754160365, 121.59161803 15.754160365, 121.59161803 15.749993700000001, 121.58745136499999 15.749993700000001, 121.58745136499999 15.754160365))"
52,53,1,main,205,205,213.40754,213.395,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266926,"POLYGON ((121.620784685 15.754160365, 121.62495135 15.754160365, 121.62495135 15.749993700000001, 121.620784685 15.749993700000001, 121.620784685 15.754160365))"
53,54,1,main,205,205,258.29282,258.3,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269413,"POLYGON ((121.50828473 15.749993700000001, 121.512451395 15.749993700000001, 121.512451395 15.745827035000001, 121.50828473 15.745827035000001, 121.50828473 15.749993700000001))"
